Vietnamese,English
trông,look
ghé,visit
rước,pick up;collect
cấp tốc,rapid
tự học,self-study
đàm thoại,conversation
dành cho,to reserve;to be meant for;to be destined for
nhân viên,staff
kèm,included;with
vào,enter (v);at (prep);in (adv)
mời,ask for presence or participation;invite
thưa,dear;thin
chê,fault
hết,to finish;to spend;to be full
ưa chuộng,to be favourite (adj);favorite (n)
tràn ngập,to innundate (v);overwhelm (adj);brim (n)
thị thường,marketplace
dạ,yeah
quầy,counter
trả,to pay;to return;to give back
gói,to pack
vị chi,that comes to...
rẻ,cheap
bớt,to reduce;to diminish;to subside
hàng hóa,commodity
giá chính thức,cost price
giá nhất định,fixed price
thấp,low
lầm,to make a mistake (v);wrong (adj)
hạ,to lower
nếm,to taste
mùi,to smell
hương vị,flavor
hương thơm,aroma
đạt,to reach;to attain
đạt cực khoái,orgasm
tệ,bad
tốt nghiệp,to graduate
giảng dạy,to lecture
trường trung học,high school
thị trấn,town
xa xôi,remote
thăng chức,to promote
bài tập,exercise
cứ,to continue
hoài,constantly
khiến,to cause;to drive;to induce
ngờ,to doubt;to suspect
số phận,destiny;fate
gõ,to knock
ngại,to hesitate
điếm đanh,target
khá,rather;quite
đánh,to hit
cơ hội,opportunity
nổ lực,effort
biểu hiện,to manifest
thất vọng,disappointed
do,due to
tuyển,recruitment
hiệu suất,efficiency
kiếm,to earn
phiền,bother
đùa,joke
đảm nhận,to undertake
liệu,whether
đồng nghiệp,colleague
dị nghị,criticism
ghen tị,jealous
sơ yếu lý lịch,resume
cá nhân,individual;personal
sáng mai,tomorrow morning
giao,to assign;to entrust
điều,fact;point
đề cập,mention
đưa ra,to put out;to produce
biện pháp,measures;steps
tự trọng,self-esteem
vô tình,Anh ta vô tình bước vào đồn cảnh sát. -> He accidentally walked into the police station.
nguyện,wish
cơ quan,agency;institude
đám cưới,wedding
báo cáo,report
tóm tắt,to summarize;to abstract
khát,thirsty
cảm giác ,feeling (n)
hết sức,extremely
hiệu quả,effect;efficiency
cặp,couple;pair
căng,stretch
tròn,round
núm vú,nipple
gọi cảm,sexy;suggestive;appealing
quần lót,underwear
hiềp,oppress
nứng,horny
sự dâm đãng,lewdness
nấc,hiccups
nhanh,fast
đẫm,soaked
rõ ràng,evident;clear
chối,to refuse;to deny
toại nguyện,to satisfy (v);satisfaction (n)
đủ,enough;sufficient
nắm,to hold;to grasp
chức,position;office
tê,numb
con đĩ,plaything;bitch (slang);whore (slang)
sắp,to be on the verge;to be about to happen
cảm nhận,to feel (v)
đỉnh,summit;peak
sâu,deep
năm,to lie down
phê,high;stoned
càng,more and more
cứng,hard
bắn,shoot
ngập,to be submerged
điên,mad;crazy;insane
tinh trùng,sperm
đối xử,to treat or behave
điên cuồng,frantic
hồi,episode;act;event
đánh đổi,exchange;trade;swap
địa vị,position;status
mong,to desire;to wish
xin phép,to ask for permission
cưới,to marry
cẩn thận,to be careful
giám sát,to supervise;to oversee
lát,a moment;a while
bài thi,examination paper
đưa,to give (using hands)
chiều,afternoon;dimensions;directions
trọng điểm,key point;focus
trải nghiệm,to experience
địa phương,local
thức dậy,to wake up
sớm,early;prematurely
dám,dare
rời,to leave
chụp,to take pictures
nghỉ phép,to be on leave (v);vacation (n)
dành,to reserve;to spend
mầm,germ;seed
ngô,corn
mềm mại ,soft
rút,to withdraw
gãy,to fracture;to break
tổn thương,to injure;to hurt
tiểu học,primary education
tiến sĩ,doctorate degree
giỏi,skillful
chia tay,farewell
nghiêm trọng,serious
thoát khỏi,to breakout;to escape
giao cho,to entrust;to assign
nhiệm vụ,duty
nghi ngờ,to suspect;to doubt
mối quan hệ,relationship
nhất định,absolutely;assuredly
hợp tác,to cooperate
khoa trương,to boast;to brag
giám đốc,manager
thú vị,enjoyable;interesting
yên tâm,to be assured
thực ra,in fact;actually
phụ hợp,suitable
nặng,heavy
thời đai,era;age
quan tâm,to care;to be interested
phản ứng,to react
lời khen,praise;compliment
vụng,clumsy
muộn,late
phát hiện,to discover;to detect
tờ giấy,a sheet of paper
giũ,to keep;to retain
anh chành,customer
năng lực,ability;capacity
áp lực,pressure
xia dịu,to placate;to soothe
tâm hồn,soul;spirit
hơi,slightly
giải tỏa,to release;to relieve
thoải mái,comfortable
nuốt,to swallow
đút,to put inside
vội,to hurry
đặt,to put;to place
thả,to release;to drop;to liberate
có vị,to taste
kiểm tra,to check;to control
tin nhắn,message
phương tiện truyền thông,media
xã hội,society
tuần,week
liên lạc,to contact
cuộc biểu tình,to protest
giữ,to hold;to hug
hôm qua,yesterday
có vẻ,seemingly
rượu vang,wine
đam mê,to be passionate
loại,type
trực tuyến,online
phương,direction
bình minh,dawn
cuộc phiêu lưu,adventure
kho báu,treasure
đời,life
toan bộ,complete;whole;entire
khuấy,stir
đoạn đầu đài,scaffolding
ham,eager;keen
nhân loại,humanity
vua hải tạc,pirate king
quyền lực,power
danh vọng,glory;fame
bước sang,to step to the side
cảng,port
gió đông,easterly wind
thổi,blow
chứng,to prove
cỡ,size
mấy,some
trò,trick;game
ngốc,stupid
lén lút,sneaky (adj);stealthy (adj)
tội lỗi,sin
dù gì,whatever
cấp dưới,subordinate
sắp xếp,to arrange;to organize
coi chừng,to look out for;to watch out for
vượt,to exceed;to overtake
khách sáo,formal
hấp dẫn,attractive
ánh mắt,looks
dạo,to stroll;to walk
sếp,boss
tới lướt,to move to a new position
sờ,to touch and feel
nhận ra,to realize
sẵn lòng,willing (adj)
trộm,furtive (adj);to steal (v)
chiếm lấy,to seize;to take over
lỗ đít,asshole
hành hạ,to mistreat;to abuse
đàn bà,woman;broad
giải,to resolve
phóng thủy,to release water
ngậm,to shut the mouth;to hold in one's mouth
đeo bao,to wear a condom
so,to compare
rên,to groan;to moan
đổi kiểu,to change style
chuyền,to pass from one to another
trình,to submit;to show
hải trình,sea route
lòng dũng,courage
cạn chén,to drink up
khó coi,clumsy
chỗ thịt,flesh
thêm,to add
lần sau,next time
theo,to follow
nói xạo,to lie
đau,to be painful
tẹo,a bit
ngu xuần,stupid
điểm yếu,vulnerability
chí,fate
chuyến hải trình,voyage
vả lại,moreover
rơi,to fall
thuyền trưởng,captain
cú đấm,to punch
sánh ngang,to be on equal footing with
súng lục,pistol
giọng,voice
rộng,wide
lứa tuổi,age group
kịp chuyến,to catch something on time
khỏi,to start
khỏi hành,to depart
chuông báo thức,alarm
reo,to ring;to shout
đóng gói,to pack
hành lý,luggage
ăn mặc,to dress up
chỉnh tề,presentable
số cổng,gate number
chọn,to select
tài xế,driver
viên chức,official
hướng dẫn,to lead;to direct
tầng,floor
sân ga ,train platform
tuy nhiên,however
khu vực chờ,waiting area
được chiếu sáng tốt,well lit
ấm áp hơn,warmer
đồ ăn nhẹ,Snacks
bánh quy,cookies
lấy,to take
toa tàu,train
tra vé,to check tickets
đánh đấu,to mark
kiểm,to check
đông,crowded;full
hỗn loạn,chaotic
ốn ào,noisy
dừng,to stop
hẹp,narrow
đủ chỗ cho,to accomodate
hàng,row;line;file
băng qua,to cross through
con dường,path;road
nguy hiểm,to be dangerous
nhà trọ,hostel
cách,manner;way;to be distant or separated
tuyến đường,route;lines
qua,by;through;last
trung tâm,center
đông đúc,crowded
yên tĩnh,calm;quiet
ngạc nhiên,to be surprised;to be astonished
bên trong,inside
ngập ngừng,hesitantingly;falteringly
bước,to step
chơi đàn,to play an instrument
ghi ta,guitar
quả thưc,fruit
thủ tục,procedure
nhận,to receive;to accept
phòng,room
thủ tục nhận phòng,check-in
thời tiết,weather
hóa ra,to turn out
chấp nhận,to allow;to permit
thanh toán,to pay;to clear or settle dues
bằng,by means of
tiền mặt,cash
quán,restaurant
máy tính xách tay,laptop
ghi lại,to make a record
từ vựng,vocabulary
kết thúc,to end;to conclude;to run out
ngon,to be tasty
đêm,night
say xỉn,drunk
quay lại,to return
ký túc xá,dormitory
nửa đêm,midnight
to,loud;huge
liên tục,continuous;uninterrupted
bật tắt,to toggle
đèn,lights
túi xách,bags
ném,to throw;to fling
khắp nơi,everywhere;around
tủ quần áo,cloth cabinet
mở,to open
đóng,to shut;to close;to perform;to act
thảo luận,to discuss
kế hoạch,plan;project
tiếp theo,to continue forward
gần,near;close
ngay sau đó,soon after
bắt đầu,to start
giữa tất cả,amid all
bằng cách nào,somehow
ngủ thiếp đi,to fall asleep
cùng một,same
điểm đến,destination
lo lắng,to worry
tỷ số,score;ratio
trận đấu,contest;match
diễn ra,to take place;to occur;to transpire
giữa,between
tình trạng,state;condition
hoảng loạn,to be disturbed;to panic
ý do,reason
đói,hungry
bỏ lỡ,to miss out;to lose
nghĩa,to mean
vội vã,to hasten;to hurry
thu dọn,to clean up;to tidy up
gia hạn,to extend
kịp,to catch up to on time
ổn định cuộc sống,to settle
đám,group
tại,in
hãm,to violate;to brake
tập thể,collectively
quá khứ,past
dâm tục,obscene
chủ quyền,sovereignty
công nhận,to recognize;to acknowledge
giải lao,to take a break
tự do,freedom
khôn,wise
đại,grand
câm,dumb
chọc,poke
thưởng,to reward;to compensate
cầm,to hold;to take
té,to fall
vết thương,injury;wound
bất cẩn,careless
bắt nạt,to bully
vú,breast
tới;đến,to come
cứu,to rescue
thoa thuốc,to apply medicine
chắc,sure
gàng,clean;neat
dạy bảo,to teach
đỉnh ,top;summit
lật ,to turn;to flip
xóa,to erase;to delete
coi,to look;to inspect
trần truồng,naked;nude
trách,to blame
nằm,to lay;to lie down
hứng thú,to be interested;to be excited
động tác,moves;gestures
tư thế,posture;positions
ngoan,to be well-behaved
lót kiểu,underwear
nứng ,horny 
thơm,fragrant
báo phụ,to warn
phát tán,to spread;to propagate
chuẩn bị,to prepare
nút,to plug
mút,to suck
phản kháng,to protest
chịu nỗi,to endure